Codice,Status,"Tipo di canale",Canale,Arrivo,Partenza,Data,Window,Notti,Totale,Iva,"Totale tasse escluse","Totale originale","Prezzo medio per notte","Codice prodotto",Prodotto,"Codice camera",Camera,Adv/to/azienda,Ad.,Ba.,Nazione,"Codice sconto","Codice membership agree","Codice cliente",Commissioni,"Commissioni (%)","Tipo carta","Titolare carta","Confronto nominativo (%)",Numero,Scadenza,Operatore,"Operatore di origine","Codice Vertical Booking","Data Ultima Modifica/Cancellazione","RN originali prenotazione",Valuta,"Consenso trattamento dati","Totale servizi","Totale meno servizi",p1_uid1_type,p1_uid1_id_context,p1_uid1_id,p1_uid2_type,p1_uid2_id_context,p1_uid2_id,p1_type,p1_company_short_name,p1_company_code,p1_company_code_context,p2_uid1_type,p2_uid1_id_context,p2_uid1_id,p2_uid2_type,p2_uid2_id_context,p2_uid2_id,p2_type,p2_company_short_name,p2_company_code,p2_company_code_context,p3_uid1_type,p3_uid1_id_context,p3_uid1_id,p3_uid2_type,p3_uid2_id_context,p3_uid2_id,p3_type,p3_company_short_name,p3_company_code,p3_company_code_context,p4_uid1_type,p4_uid1_id_context,p4_uid1_id,p4_uid2_type,p4_uid2_id_context,p4_uid2_id,p4_type,p4_company_short_name,p4_company_code,p4_company_code_context,Metasearch,"Data acquisto","Orario acquisto",Origine,Dispositivo,"Nome Profilo Primario","Codice IATA Primario","Contesto Primario","Nome Profilo Secondario","Codice IATA Secondario","Contesto Secondario",RevenueDettaglioGiornaliero,RevenueDettPkgIncl,"Totale Sconti Stay",TotalAmountAfterTax,PrenRic
1400576136/1204413850,Cancellata,IDS,Booking.com,22/07/2017,29/07/2017,"01/01/2017 15:27:38",201,0,"0,00","0,00","0,00","980,00","0,00",SA+,,APTDCMF,,,5,0,pl,,,,,,,,,,,,,770,"01/01/2017 15:27:39",7,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017,15:27:38,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"980,00","980,00","0,00","0,00",643
1240874198/1204820657,Cancellata,IDS,Booking.com,15/07/2017,02/08/2017,"01/01/2017 23:13:47",194,0,"0,00","0,00","0,00","2198,00","0,00",SA+,,APTBCMF,,,4,0,nl,,,,,,,,,,,,,771,"01/01/2017 23:13:49",18,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017,23:13:47,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"2198,00","2198,00","0,00","0,00",644
1656344835/1204828455,Cancellata,IDS,Booking.com,22/07/2017,09/08/2017,"01/01/2017 23:25:02",201,0,"0,00","0,00","0,00","2308,00","0,00",SA+,,APTBCMF,,,4,0,nl,,,,,,,,,,,,,780,"11/01/2017 21:59:16",18,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017,23:25:02,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"2308,00","2308,00","0,00","0,00",645
1656344835/1204828455,Cancellata,IDS,Booking.com,22/07/2017,09/08/2017,"01/01/2017 23:25:02",201,0,"0,00","0,00","0,00","2308,00","0,00",SA+,,APTBCMF,,,4,0,nl,,,,,,,,,,,,,772,"10/01/2017 22:10:56",18,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017,23:25:02,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"2308,00","2308,00","0,00","0,00",645
1656344835/1204828455,Cancellata,IDS,Booking.com,22/07/2017,09/08/2017,"01/01/2017 23:25:02",201,0,"0,00","0,00","0,00","2308,00","0,00",SA+,,APTBCMF,,,4,0,nl,,,,,,,,,,,,,781,"11/01/2017 21:59:16",18,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/2017,23:25:02,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"2308,00","2308,00","0,00","0,00",645
1672581748/1206281133,Cancellata,IDS,Booking.com,01/07/2017,15/07/2017,"03/01/2017 09:00:58",178,0,"0,00","0,00","0,00","1624,00","0,00",SA+,,APTBCMF,,,3,0,se,,,,,,,,,,,,,773,"03/01/2017 09:00:59",14,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017,09:00:58,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1624,00","1624,00","0,00","0,00",646
1550584067/1206284991,Cancellata,IDS,Booking.com,01/07/2017,15/07/2017,"03/01/2017 09:06:47",178,0,"0,00","0,00","0,00","1806,00","0,00",SA+,,APTDCMF,,,3,0,se,,,,,,,,,,,,,774,"03/01/2017 09:06:48",14,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/01/2017,09:06:47,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1806,00","1806,00","0,00","0,00",647
1939115856/1209661904,Confermata,IDS,Booking.com,05/06/2017,15/06/2017,"05/01/2017 22:26:23",150,10,"920,00","0,00","920,00","920,00","92,00",SA+,,APTBCMF,,,4,0,de,,,,,,,,,,,,,775,"05/01/2017 22:26:23",10,EUR,,"0,00","920,00",32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/01/2017,22:26:23,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"920,00","920,00","0,00","920,00",648
1509659248/1210016298,Cancellata,IDS,Booking.com,01/07/2017,08/07/2017,"06/01/2017 08:59:25",175,0,"0,00","0,00","0,00","903,00","0,00",SA+,,APTDCMF,,,5,0,ru,,,,,,,,,,,,,778,"10/01/2017 10:37:10",7,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/01/2017,08:59:25,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"903,00","903,00","0,00","0,00",649
1509659248/1210016298,Cancellata,IDS,Booking.com,01/07/2017,08/07/2017,"06/01/2017 08:59:25",175,0,"0,00","0,00","0,00","903,00","0,00",SA+,,APTDCMF,,,5,0,ru,,,,,,,,,,,,,776,"10/01/2017 10:37:10",7,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/01/2017,08:59:25,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"903,00","903,00","0,00","0,00",649
1380512067/1211811927,Cancellata,IDS,Booking.com,26/08/2017,05/09/2017,"07/01/2017 21:57:50",230,0,"0,00","0,00","0,00","1088,00","0,00",APPBOOKING,,APTBCMF,,,4,0,de,,,,,,,,,,,,,900,"05/05/2017 22:38:02",10,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/01/2017,21:57:50,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1088,00","1088,00","0,00","0,00",650
1380512067/1211811927,Cancellata,IDS,Booking.com,26/08/2017,06/09/2017,"07/01/2017 21:57:50",230,0,"0,00","0,00","0,00","1180,00","0,00",SA+,,APTBCMF,,,4,0,de,,,,,,,,,,,,,777,"05/05/2017 22:38:02",11,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/01/2017,21:57:50,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1180,00","1180,00","0,00","0,00",650
1975276248/1214910065,Confermata,IDS,Booking.com,15/07/2017,22/07/2017,"10/01/2017 12:38:08",185,7,"546,00","0,00","546,00","546,00","78,00",SA+,,APTACMF,,,2,0,it,,,,,,,,,,,,,779,"10/01/2017 12:38:08",7,EUR,,"0,00","546,00",32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/01/2017,12:38:08,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"546,00","546,00","0,00","546,00",651
1635777994/1217458539,Cancellata,IDS,Booking.com,24/06/2017,08/07/2017,"12/01/2017 12:25:06",162,0,"0,00","0,00","0,00","1624,00","0,00",SA+,,APTBCMF,,,4,0,ru,,,,,,,,,,,,,782,"29/05/2017 12:09:34",14,EUR,,"0,00",0,32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/01/2017,12:25:06,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1624,00","1624,00","0,00","0,00",652
1635777994/1217458539,Confermata,IDS,Booking.com,24/06/2017,08/07/2017,"12/01/2017 12:25:06",162,14,"1624,00","0,00","1624,00","1624,00","116,00",APPBOOKING,,APTBCMF,,,4,0,ru,,,,,,,,,,,,,920,"29/05/2017 12:09:34",14,EUR,,"0,00","1624,00",32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/01/2017,12:25:06,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1624,00","1624,00","0,00","1624,00",652
1029433009/1218871262,Confermata,IDS,Booking.com,12/08/2017,26/08/2017,"13/01/2017 15:30:58",210,14,"1764,00","0,00","1764,00","1764,00","126,00",SA+,,APTBCMF,,,4,0,it,,,,,,,,,,,,,783,"13/01/2017 15:30:59",14,EUR,,"0,00","1764,00",32,CRS,11,,,,4,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/01/2017,15:30:58,,,"BOOKINGS EUROPE B.V.",9606020,IATA,,,,"1764,00","1764,00","0,00","1764,00",653
