Codice,Status,"Tipo di canale",Canale,Arrivo,Partenza,Data,Window,Notti,Totale,Iva,"Totale tasse escluse","Totale originale","Prezzo medio per notte","Codice prodotto",Prodotto,"Codice camera",Camera,Adv/to/azienda,Ad.,Ba.,Nazione,"Codice sconto","Codice membership agree","Codice cliente",Commissioni,"Commissioni (%)","Tipo carta","Titolare carta","Confronto nominativo (%)",Numero,Scadenza,Operatore,"Operatore di origine","Codice Vertical Booking","Data Ultima Modifica/Cancellazione","RN originali prenotazione",Valuta,"Consenso trattamento dati","Totale servizi","Totale meno servizi",p1_uid1_type,p1_uid1_id_context,p1_uid1_id,p1_uid2_type,p1_uid2_id_context,p1_uid2_id,p1_type,p1_company_short_name,p1_company_code,p1_company_code_context,p2_uid1_type,p2_uid1_id_context,p2_uid1_id,p2_uid2_type,p2_uid2_id_context,p2_uid2_id,p2_type,p2_company_short_name,p2_company_code,p2_company_code_context,p3_uid1_type,p3_uid1_id_context,p3_uid1_id,p3_uid2_type,p3_uid2_id_context,p3_uid2_id,p3_type,p3_company_short_name,p3_company_code,p3_company_code_context,p4_uid1_type,p4_uid1_id_context,p4_uid1_id,p4_uid2_type,p4_uid2_id_context,p4_uid2_id,p4_type,p4_company_short_name,p4_company_code,p4_company_code_context,Metasearch,"Data acquisto","Orario acquisto",Origine,Dispositivo,"Nome Profilo Primario","Codice IATA Primario","Contesto Primario","Nome Profilo Secondario","Codice IATA Secondario","Contesto Secondario",RevenueDettaglioGiornaliero,RevenueDettPkgIncl,"Totale Sconti Stay",TotalAmountAfterTax,PrenRic
19887AZGQK17,Confermata,Sito,Sito,01/08/2023,04/08/2023,"01/12/2022 18:41:16",242,3,"1980,00","0,00","1980,00","1980,00","660,00","Best Availability Rate",,COLOSSEO,,,2,0,US,,,,,,,,,,,,,17,"01/12/2022 18:41:16",3,EUR,,"0,00","1980,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01/12/2022,18:41:16,,Website,Website,WEBSITE,CRS,,,,"1980,00","1980,00","270,00","1980,00",17
19887BQLPB18,Confermata,Sito,Sito,23/01/2023,25/01/2023,"04/01/2023 19:01:51",18,2,"968,00","0,00","968,00","968,00","484,00","Best Availability Rate",,COLOSSEO,,,2,0,IT,,,,,,,,,,,,,18,"04/01/2023 19:01:51",2,EUR,,"0,00","968,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/01/2023,19:01:51,,Website,Website,WEBSITE,CRS,,,,"968,00","968,00","132,00","968,00",18
19887VFAUN19,Confermata,Sito,Sito,26/09/2023,28/09/2023,"02/02/2023 16:43:04",235,2,"1760,00","0,00","1760,00","1760,00","880,00","Best Availability Rate",,COLOSSEO,,,7,0,US,,,,,,,,,,,,,19,"02/02/2023 16:43:04",2,EUR,,"0,00","1760,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/02/2023,16:43:04,,Website,Website,WEBSITE,CRS,,,,"1760,00","1760,00","240,00","1760,00",19
19887VNOHO20,Confermata,Sito,Sito,25/08/2023,27/08/2023,"09/03/2023 20:00:03",168,2,"1496,00","0,00","1496,00","1496,00","748,00","Best Availability Rate",,COLOSSEO,,,8,0,US,,,,,,,,,,,,,20,"09/03/2023 20:00:03",2,EUR,,"0,00","1496,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/03/2023,20:00:03,,Website,Website,WEBSITE,CRS,,,,"1496,00","1496,00","204,00","1496,00",20
19887RJZMP21,Confermata,Sito,Sito,13/05/2023,15/05/2023,"10/03/2023 00:12:27",64,2,"2024,00","0,00","2024,00","2024,00","1012,00","Best Availability Rate",,COLOSSEO,,,5,0,MX,,,,,,,,,,,,,21,"10/03/2023 00:12:27",2,EUR,,"0,00","2024,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/03/2023,00:12:27,,Website,Website,WEBSITE,CRS,,,,"2024,00","2024,00","276,00","2024,00",21
19887FIHJR22,Confermata,Sito,Sito,19/10/2023,22/10/2023,"11/03/2023 10:15:06",221,3,"3080,00","0,00","3080,00","3080,00","1026,67","Best Availability Rate",,COLOSSEO,,,7,0,GB,,,,,,,,,,,,,22,"11/03/2023 10:15:06",3,EUR,,"0,00","3080,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/2023,10:15:06,,Website,Website,WEBSITE,CRS,,,,"3080,00","3080,00","420,00","3080,00",22
19887DOSJP23,Confermata,Sito,Sito,10/06/2023,12/06/2023,"17/03/2023 17:33:23",84,2,"2112,00","0,00","2112,00","2112,00","1056,00","Best Availability Rate",,COLOSSEO,,,8,0,US,,,,,,,,,,,,,23,"17/03/2023 17:33:23",2,EUR,,"0,00","2112,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/03/2023,17:33:23,,Website,Website,WEBSITE,CRS,,,,"2112,00","2112,00","288,00","2112,00",23
19887KTDJJ24,Confermata,Sito,Sito,18/07/2023,20/07/2023,"02/04/2023 09:55:59",106,2,"2112,00","0,00","2112,00","2112,00","1056,00","Best Availability Rate",,COLOSSEO,,,2,0,US,,,,,,,,,,,,,24,"02/04/2023 09:55:59",2,EUR,,"0,00","2112,00",10,CRS,2,,,,12,Mobile,MOBILE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02/04/2023,09:55:59,,Mobile,Mobile,MOBILE,CRS,,,,"2112,00","2112,00","288,00","2112,00",24
19887LNQHJ25,Confermata,Sito,Sito,24/04/2023,27/04/2023,"08/04/2023 20:06:59",15,3,"2640,00","0,00","2640,00","2640,00","880,00","Best Availability Rate",,COLOSSEO,,,5,0,GB,,,,,,,,,,,,,25,"08/04/2023 20:06:59",3,EUR,,"0,00","2640,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/04/2023,20:06:59,,Website,Website,WEBSITE,CRS,,,,"2640,00","2640,00","360,00","2640,00",25
19887IENNC26,Confermata,Sito,Sito,18/09/2023,21/09/2023,"03/06/2023 12:55:03",106,3,"3168,00","0,00","3168,00","3168,00","1056,00","Best Availability Rate",,COLOSSEO,,,3,0,US,,,,,,,,,,,,,26,"03/06/2023 12:55:03",3,EUR,,"0,00","3168,00",10,CRS,1,,,,12,Website,WEBSITE,CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/06/2023,12:55:03,,Website,Website,WEBSITE,CRS,,,,"3168,00","3168,00","432,00","3168,00",26
