HotelId,Lat,Long
0001,41.90394595,12.48923153
0002,40.74337161,13.90841246
0003,43.47673919,11.36615038
0004,43.80197656,11.29798206
0005,40.73972298,13.95481333
0006,40.57070800,17.75343418
0007,41.20123229,13.79704177
0008,41.02791236,9.54693005
0009,45.79588060,6.96956187
0010,41.89224462,12.49198165
